Line1,Line2,Line3
serendipity,of serendipity in,serendipity
sky sits on the ground,contained within the puddles,clouds splash on my feet
a beautiful Run,crows in puddles and in trees,watch me; smile at me
rain in the winter,closest to the sun today,hide aphelion
"in my cup, coffee","smell, taste of being awake","today, good morning!"
wake up to a hug,pink Clouds wrap around my eyes,good morning Glory
winter sun gives hints,like a love note in the morn,I glow in the warmth
hoya of Nana,generations green and full,blooming in my sill
a foggy morning,faint branches in a white sea,like old memories
fog again today,the same and yet different,fractal winter days
wind gusts bending trees,hummingbird stands firm and still,strength in this small life
teaching math all day,"sine, cosine, tangents and more",it is my function
swimming in a sea,"droplets, the bubbles in air",fog rolls in like tide
pentagonal life,"perfect, beautiful flowers",beauty does abound
the silver lining,orchid blooming for a year,beauty in my home
my townsend warbler,yellow streaks in my backyard,a glow in winter
like a fluffy whip,but chaotic and angry,the squirrel tail scolds
this path is flooded,with a moment — reflection,to then turn around
the base of thirteen,would be an interesting,thought our units
why isn’t solstace,the year’s end or beginning,are we not of space?
paths beneath my feet,nodes in the past and future,graphs of my being
crow grabs the sunlight,warmth catching the top branches,black feathers at dusk
faint little circle,partially obscured by sky,"branches reach, yearning"
early morning song,vibrato pierces the morn,birds rouse the whole earth
"tip top, fir tree crow","claim the branch, caw to below",announce the sunset
images within,vivid inner gratitude,a place to gather
"twisted growth, out, up",holding sky with tangled limbs,silhouette white oak
look up — perspective,cedars converge together,whispering of blue
beauty in my mind,look inwards with boundlessness,"uncountable, be"
ribbons of fungus,gossamer laced water beads,life’s intricacies
modest are the trees,moss draping over branches,hidden is the wood
splashing in pure joy,immersing in the moment,in the now of life
three generations,"together, watching the birds",quiet etched in time
"black, soft, powder stick",the raw transforms to beauty,charcoal to paper
probability,crows checking under each leaf,p of finding nuts
"here, nested circles",ripples from raindrops expand,glitches in water
the various V’s,configurations of flight,absolute values
yellow-rumped warbler,"flit, fly, jump, play — pierce the gray",harbinger of spring
of growth and decay,such precious time in this life,learning quarantunes
I always look up,to the trees; magnificent,my smallness is known
the lenses we have,"magnify, distort, and bend",our reality
I breath in and out,the air that circles the earth,the eddies of life
cumulative drops,glazing ice on leaf and limb,winter steps on spring
generosity,"so humbling, loving, and kind",loving thy neighbor
the mind of a child,"creative, curious, joy",never let yours go
ice rains down on life,"smoothing bumps, magnifying",winter chandeliers
fire’s fingers dance,wrap and hug life that once was,"air, to tree, to air"
the parallel curves,encasing sedum in ice,small bubbly fractals
"crow, quiet and still","waits, watches, ruffles, then flies",through the moon’s dim light
plot the Devil’s Curve,center on infinity,lemniscate in walls
lofty sequoia,"reach, spread your canopy",envelope my eyes
white smeared on the blue,hints of orange and purple,clouds gather to speak
the death of my friends,I felt the ground shake all night,you lay cleft at dawn
in just one moment,"a head injury, a loss",never in silence
the moment for tea,remove leafs at the right time,as with all life’s gifts
repose beneath sky,find the space within your mind,clear the clouds of thought
"the delta, I am","changing, growing, condensing","into me, not me"
coding with patterns,"knit, purl, yarn over, and slip",for loops in the wool
yellow river sky,"in fall you came, but no more",tributaries — gone
"on the wire, one wire",one crow sits; a single Om,resonant with us
point under the sky,vector fields of stick and cloth,show her vortices
council of the crows,rupture with flight and chorus,choices have been made
see the underneath,the silhouettes of anthers,are manifested
the gurgling crows,"to each other, back and forth",what poems they speak
the seven of them,together in flight and tree,an aerie of grace
"oh, cedar waxwings",gulping berries at sun set,you bring me such joy
pull that little string,that will lead you down that path,a trail for thinking
life shows its beauty,the tiny details abound,within all of this
I know you. my friend.,still budding though you lay down,cherish these last leaves
lift yourself with breath,in and out of your being,a moment will do
just folding paper,creates dragon curve beauty,spirals of corners
the sea leaves presents,"precious tokens, and small hints",from a hidden world
we architect webs,"strands of kindness, grace, and love",parametric us
I hugged my mother,I embraced every moment,we have ever had
great white fawn lily,"looking down, your tender roots",beneath your breath — “spring”
even the strongest,will become covered with moss,when alone with time
I am now learning,"how to play, to be a child",play means letting go
a forest burned shows,the skeletal curvature,flesh removed from earth
I am condensate,dew that has settled on life,destined for the soil
those moments of pause,bring brown creepers to focus,camouflage now seen
I see reflection,homeomorphic tree tops,painted in puddles
to be a raven,to play in the winds of life,closer to the light
vestiges of trees,swept away — a tide of men,only roots remain
non-linear time,you are like honey and light,"a trickle, a gush"
the ease to forget,that we are but on a speck,in a universe
trees churn with current,"rooted, wooden, in whirlpools",centuries of flow
walking random paths,"looking for meaning, we see",pareidolia
I have a fixed point,but my distance grows in time,evolving conchoid
I try to let storms,blow through me and around me,"but, sometimes I break"
abundance flowing,my vessel is full of life,when I am present
trees dip their big toes,into the streams of the sky,manifest eddies
lichen brings color,composite life of crutose,a vibrant puddle
a spiral beauty,rotational symmetry,perfection in life
I have had to change,change my radius of thought,to find happiness
a new path is found,it was always here — ready,now realized and walked
night time thoughts bring focus,moonlit branches projected,vivid silouettes
as a treehugger,"plant me beside, beneath one",the ultimate hug
in an empty lot,"between the houses, hidden",pocket of lilies
when you lean into,that mountain ahead; summit;,spread your arms and fly
I have a secret.,when overwhelmed with beauty,my soul blows kisses
like glaciers in spring,chaffing ice in the sun’s warmth,tulips melt petals
you reach for the moon,"your little arms, unaware",of that great distance
we are projections,of all in the past/future,the shadows today
pappus chains; circles,pack them like bijou trinkets,memories’ bubbles
puddles of sunlight,scintillate with the soft breeze,ablutions from sky
that forest fragrance,"of moss, earth, stream, trees, and life",lingers deep inside
tuck your babies in,with bits of pollen and mud,lullaby buzzing
vortex of petals,"come to hold my hand, farewell",white gives way to green
the swallows are here,dancing in erratic flight,"then they perch, so still"
seeds we plant today,may bring forth fruits beyond us,propagating good
happiness is now,"breathe it, let it permeate",ev’ry living cell
shadows can bring forth,awareness of light; contrast;,reveal gratitude
